ObjName,type,RA,DEC,B,V,G,CountsR,CountsG,CountsB,X,Y
BD+20 2005      ,Star, 8.13657     , 20.56272 , 10.35 , 9.04  , 8.6293  , 17763  , 18461  , 9372   , 2633 , 469
BD+21 1766      ,Star, 8.14149     , 20.59967 , 10.69 , 9.03  , 8.3523  , 16788  , 17315  , 9183   , 2697 , 251
BD+20 2007      ,Star, 8.14449     , 20.28416 , 10.52 , 9.82  , 9.7906  , 7700   , 7629   , 4055   , 1776 , 320
TYC 13841851  ,Star, 8.09468     , 20.42690 , 10.93 , 10.06 , 9.8998  , 7830   , 7740   , 4465   , 2604 , 2219
TYC 13843851  ,Star, 8.12374     , 20.08094 , 12.55 , 11.7  , 11.2398 , 1944   , 1520   , 1097   , 1375 , 1271
TYC 13859851  ,Star, 8.14128     , 20.12704 , 10.57 , 10.13 , 10.0350 , 6518   , 6032   , 3268   , 1356 , 542
BD+20 2009      ,Star, 8.14832     , 20.27791 , 10.82 , 10.52 , 10.4423 , 4402   , 4829   , 2330   , 1726 , 171
TYC 13845091  ,Star, 8.11375     , 20.03512 , 11.79 , 11.63 , 11.5007 , 1506   , 1586   , 814    , 1330 , 1697
HD 67150        ,Star, 8.12391     , 19.81766 , 8.27  , 7.69  , 7.5382  , 56496  , 56205  , 30291  , 624  , 1424
Moon Center,Moon,8.1164,20.4101,-1,-1,-1,-1,-1,-1,2371,1364
L1-21J          ,Moon,   -1  , -1 ,  -1    ,   -1   ,  -1      , 2708   , 2535   , 1816   , 1726 , 950
Byrgius A,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1781,920
Grimaldi,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1979,727
Aristachus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2437,738
Plato,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2922,1029
Tycho,Moon,-1,-1,-1,-1,-1,-1,-1,-1,1827,1520
Copernicus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2392,1078
Manilius,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2626,1412
Dionysus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2528,1593
Chladni,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2447,1380
Kepler,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2273,886
Bullialdus,Moon,-1,-1,-1,-1,-1,-1,-1,-1,2000,1250
